Anuhazi,Pronunciation,English,Chinese,Source Title Number
Ah -aL - aah /Aah -LAEA’,,Respectful appeal to the inner & outer 1st expressions of the UN/ONE,鄭重地向維一的萬物之源，他的內里和外圍的表達創造世界，請求：,1
Aah -LAEA’,aLay”,,,
Jshwa -E’ La -Khem,,Request to fill with the Eternal Spirit & Sound/Light/Seed of the God Source/One,要求以神源的永恆的音／光／種，來充滿,1
Dah -aah’ Na’ -SA,,The Many Passages of the Lower Worlds of Density Matter Manifestation,密度宇宙的物質演化的低乘世界的許多通道。,1
Un vier’ - tum AB- Da -La -Sha’ –NA,,Opening the Vacuums/Voids/Veils(spaces between) of the Bodies of the manifest,打開世界化體之間的真空／空洞／紗膜,1
UT’ Ra -VA’-TA,,To receive the Eternal Living-Light of the Highest Heavens expressed,"來接受最高天堂的永恆活光。

",1
(Tah A’sha Inta DorA 3x),,"It is spoken, So it shall be done(3 times)",如是道，如是成。（3次）,1
[“Ench-allah”] ha’ -DA -ECK’ -Va,,"Giving as Gift to Ah-ah-aah(the inner 1st Flame) the opening of the Doorway to the high Inner-Ecka Core(“Core of Creation”)

",給我們這禮物， Ah -aL-aah(內在世界第一火焰），打開 通往高內在 Ecka 核心（創造的核中心）的門道，,1
Neu - a DU -E’thra Sh -e’ – sa,,Parting the Veil of the Ethra Doorway,在打開 Ethra 門道的 紗膜的同時，,1
aLE’ -A,,For the entry of the 1st Expression of the UN/ONE,給萬物之源的第一表達創造的進來。,1
(Um ah A trA E’na A Eckasha 3x),,Hailing the Eckasha God-Force (3 times),虔誠地向 Eckasha 神源符請求，與我共同創造。（3 次）,1
Um-ah-A' ThrA' E-na- A Ec-ka-sha (3 x),,Psonn - 1: Hailing the Eckasha God-Force  -The Request,歌段第1（ 意卡莎歌段）： 通神（招喚 意卡莎神力(意卡莎）-請求,2
EirA-Sha-Ra-D-K-ShA Ta'a-Mira-Prana-Chi,,Psonn - 2: The In-Breath - Intention Imbedding -The Directive,歌段第2（意雷歌段）：懷願（立願回神） － 回流吸氣 -指導,2
ManU-Ec-RAE-Dha-KHU-KEE- Ma'a-Yana-Traia-Rei,,Psonn-3: The Pause-Breath - Intention Creation -The Creation,歌段第3（曼努歌段）: 成願（意願創造形成）－ 閉氣積壘 -創造,2
"ManA-Ka-E-Ha-HU-Ra- Hara-Maya-Mana-Ki(k""E"")",,Psonn-4: The Out-Breath- Intention Manifestation -The Projection,歌段第4（曼尼歌段）: 化願（意願創造的演化體現 ）－ 呼氣外流 -演化,2
Ki,"k""E""",,,
A-sh-alum- Ta' E-ka'sha- deh',,End: ,收功：,2
Sah-sa-jhu-A’,,Silver Seed,银色种子,3
Um-sa’-TA,,Prayer(Sanctification),禱告（聖化）,3
Rei-ha-VA’-ah,,River,河,3
UN-Krys-ta’-LO,,Krystal,水晶,3
Rei-ha-VA’-ah UN-Krys-ta’-LO,,Flowing river made of Krystiac Eternally Living Crystal of the ONE SOURCE;,,3
DE-va’ en-TUr’-A E’-Sta-en-taO,,,,3
Rei-ha-VA’-ah UN-Krys-ta’-LO,,,,3
E-Rha’-HO e-Te-na Ha’-VA,,,,3
e-TU- TO’-RA en-cha’-hA NU’-vO-et-TA en-Ta-rO,,,,3
SE’-va blen’-A OOUr-tU- en-Ka’LA,,,,3
DA-hE-Ta’-VA et-ur-TA-Dha E’LAi-sa AL-Hum-Bhra,,,,3
DA-hE-NE’-va A-sa-Lah’-sO en-DU-e’thra Don Aquari,,,,3
DA-hE-U’r-tO tra-DE’-Lha Ur-en-Ta’-RO de’-Ha’ah-Tur,,,,3
Cum-sa-A’-HO DUr-e-TA’-ta DhA-yah-TUUN E’LAi-sa-VE’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO Dur-e-TA’-ta ALLum-uur AL-Hum-Bhra-VA’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta en-ta-HU’m UN-KrystaLA,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
HU’m UN-KrystaLA,UN-Kris-ta-LA’,,,
Cum-sa-A’-HO DUr-e-TA’-ta Aquious,Ah-QWE’-us,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta AquaFarE,Ah-QWa-Fah-rE’,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta Aquari,Ah-Qair-E”,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta Ha’ah-TUr,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta AdonA’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta EyanA’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta Eieyani’ Ma’a Hoo-et-A,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta oo-Sha’ LA’-zun dU Rho-szet’-TA,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta Mashaya-Hana Aqueion,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Cum-sa-A’-HO DUr-e-TA’-ta Ute-AurorA’,Oot- ah-RO’-rA’,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,,3
Bhendi-Aah-jha et-tu E’LAi-sa AL-Hum-Bhrus,,,,3
Bhendi-Dur’O-ah-MA’-Jha Ute-AurorA Aqueion,,Urtha-AquafarE “Blue Dragons” -Aquatic-bird-blue-humanid,,3
Ute-AurorA,OOt- ah-RO-rA’,,,
Aqueion,Ah-QE-on,,,3
Bhendi-Ha’-LA E-Sha-NU’-a Ute-AurorA Aqueion,,Urtha-AquafarE “Gold Dragons”--Winged-lion-biped-humanid,,3
Bhendi-Ra-MA’ Ra-tha-jhen-tU Ute-AurorA Aqueion, ,Urtha-AquafarE “Purple Dragons” -Breatharian-white-humanid,,3
,,Bring forth now the Krystal River of Eternal 1st Creation,,3
,,Bring forth now the Healing Waters of the Edon’s Umshaddhi,,3
,,Bring forth now the Gentle Wind-song of the Sacred Yunasun-Central Sun of the Yunasai Inner Domain Seed-Atom yunasai,,3
,,Bring forth here the Radiant Starlight of the Eternally StarBorn.,,3
,,Let the Krystal River flow unto my doorstep,,3
,,Let the Krystal River cleanse and heal my Soul,,3
,,May the Krystal River Love-song All-embracing,,3
,,Emerge now from my Krysted Krystal Core,,3
,,To softly call me HOME!,,3
DE-va’ en-TUr’-A E’-Sta-en-taO,,,,3
Rei-ha-VA’-ah UN-Krys-ta’-LO,,,,4
Ashalum-Ta- Eckasha Dur,,,,4
,,"In the name of the Melchizedek Cloister, Emerald Order,",,4
,,"Holy Order of the Yunasai, Sacred House of ONE",,4
,,In the name of the Mashaya-Hana Councils of Aquareion,,4
,,In the name of the Councils of KrystalA’(core Domain Councils),,4
,,"In the name of the Councils of Krystal River(Eckasha Radonic-Edonic-Adonic Tri-Matrix operative)
",,4
,,In the name of the Councils of Aurora(Tri-Matrix Races of Aquareion),,4
,,In the Krystic Name and Action of the AL-Hum-Bhra Magistracy Councils of Cosminyahas and God-Source-1st-Eternal,,4
,,"We call upon the Kristiac Powers of the Sha-A’ Da a-moor(Eternal Wind-Song-jah-sas/gases/air)

",,4
,,We call upon the Kristiac Powers of the Jha-et’-A Dur-a (Eternal Flame of the Divine Fire-vapors/fire),,4
,,We call upon the Kristiac Powers of the Aah-QuA’-el(Eternal Water Flow-fluids/liquids/waters),,4
,,We call upon the Kristiac Powers of the et-a-LA’a KrystalA’ (Eternal Foundation Stone-en-tara fema/solids),,4
,,"We call upon the Kristiac Powers of the E-Ta-Ur’ Sha-LA (Eternal Fire-Ice-Ethers 1st- Radiation)

",,4
,,(Note: “Command” means co-creatively directly with God-Source),,4
,,"We now Command with the entrusted Powers of Aurora Light,",,4
,,We now Invoke the Eternal Krysted Sun…,,4
,,"to Co-create, Release and Renew this PLACE(can be a location, being or circumstance in space-time manifestation)",,4
,,We now Declare in Eternal Sanctification.…,,4
,,"This PLACE, this LAND (or body or circumstance in healing applications), and All within, ... Into the Kristiac Protection here-in set.…",,4
,,"...that the Spirit of Urtha-Sala Rise, the Power of Urtha-Sala Heal, and the Wisdom of Urtha Sala here within Preside,",,4
,,in the name of the Eternal Krist of 1st-Creation and by the Divine Vehicle of the Rei-ha-VA’-ah UN-Krys-ta’-LO(Krystal River).,,4
,,"In Co-Creative Krist Embrace, with Absolute Humility, Absolute Love and Absolute Fore-giving, And ONLY in Absolute Service to the Eternal Krist and ITs Ever-Loving Healing Devotion to ALL-LIFE EVERYWHERE, We BANISH NOW from this Sacred PLACE...all that is unwilling to receive the Absolute Cleansing of the KrystalA’, within the Covenants of Divine Right Order and Divine Right Timing, as ONLY Eternal God-Source can know.

",,4
,,In Loving Kristiac Service we offer Release and Host Arrangement to All those present whom are in need and seek to HEAL within the Sacred Cleansing Field of Urtha-Sala and the Eternal Divine Flows of the Rei-ha-VA’-ah UN-Krys-ta’-LO.,,4
,,"In Kristiac Reverence, Joy and Gratitude for the Unceasing Love and Mercy of the ONE-SOURCE Most-Divine, we END NOW and COMPLETE this Kristiac Sanctification and Salvage Rite of Reclamation...

",,4
,,In the name of the ONE-TRUE-SOURCE-GOD-ETERNAL (“God-Source”),,5
,,In the name of the KRIST-DIVINE(“the Eternal Krist”),,5
,,In the name of the Rei-ha-VA’-ah UN-Krys-ta’-LO(Krystal River),,5
,,In the name of the Councils of KrystalA’ (Core Domain Councils),,5
,,"In the name of the Councils of Krystal River (Eckasha Radonic-Edonic-Adonic Tri-Matrix Co-operative)

",,5
,,In the name of the Councils of Aurora (Tri-Matrix Races of Aquareion),,5
,,"In the name of the Melchizedek Cloister, Emerald Order,",,5
,,"Holy Order of the Yunasai, Sacred House of ONE",,5
,,In the Krystic Name and Action of the AL-Hum-Bhra Magistracy Councils of Cosminyahas and God-Source-1st-Eternal,,5
,,And in the name of ___________(your common or spiritual name spoken)-the Eternally Kristiac “I AM THIS I AM.”,,5
Ta A’jha-in’ta DO’-A (3 x),,,,5
BĒ......TŪ ě - Te - Ta ét – A,,The Silent Strength of Eternal Grace” --”Expressed NOW and in this place,,5
Jha -Na -TĀ OO-et‘ Tá A,,"(Brings) “Loving comfort, peaceful solace” (in face of ) “Disharmony, suffering, spiritual challenge”..”as condition may be or is in present experience”",,5
BĒ......TŪ ě - Te - Ta ét – A,,The Silent Strength of Eternal Grace” --”Expressed NOW and in this place,,5
E-Sha -Neū en -Aah Sha LA,,(Brings) “Perpetual Renewal”..”By the means or way of”..”Eternal Living Light”,,5
Ish -ma -tá eĹ -eN TĀ -DUR eTh’ – A,,"(A Stoic, Noble Stance...”I will hold (IN) ..”appropriate or perfect Bearing”..”in context of the Circumstance around me",,5
DĒ Sa - Lá èn --‘tesh A -DUR Ā,,"The power of my Burning Passion” (to)Be enacted or brought forth through”.....”Spiritual Love, Reverence, Loving Respect",,5
Să - Neu -eń LĀ - Ta -Lus .…,,"The unknown or uncertain circumstance” “as the will, the means...(and) “the Way of Safe Passage",,5
Jhá....en DĀ OOT ah LĀ HĒ,,"In Loving humility, gentleness and Harmlessness, as the will, the means..(and)”…“the Way of Safe Passage”…",,5
MĒ Ta Blen DĀ SŪ NŪ ah KĀe,,"Absolute, Unshakeable...Conviction” “Affirmation or Statement” “The will to”...”Being in fully Kristed existence, I state and Affirm with Absolute Unshakeable Conviction the will to be AS the Eternal Krystar Body in the Su Nu ah Kae Kristed Transcendent State.",,5
La - Va un-Ish -ma Ta’A,,the Eternal Kryst Blood Lava/Love flow”...”at once stoic & noble” “as currently existing condition,,5
OOR - TU - UM en -Tesh DĀ - Sha -LĒ,,"Fills now, completely this vessel” “to be brought forth through” “the will of ReishaLEW Edonic spiritualised 2/3M/ 1/3S ShalA",,5
La - Va Un -Ish -ma Ta’A,,the Eternal Kryst Blood Lava/Love flow”...”at once stoic & noble” “as currently existing condition,,5
Ēs -na -VĀ Ho - en -sa de -Ka -LĒ ‘,,"is now engaged to.. reuniting polarities fertilization, absolutely stated/affirmed in action..complete, consummated, birthed, of Spiritualized KaLA State” (LaLa 1/2 M 1/2S = 1/2 Krystar activation & “0-G” turnaround point",,5
ME -Ta -UR DŪ -et - A Sha -dá – Ā,,"in unshakable conviction & absolute manifestation Power”...(and)Harmony, joy, co-resonance expressed now & in this place, I journey onward to God-Source",,5
NE - fa -Kae‘ en-Tesh ALL-UR-eA,,"(to) enter into Krysted Existence, ",,5
DĀ - Sa -La Ā - neu – ReŪ,,"By the power of my Will to, become fully engaged, embraced, at one with, & renewed by my…Eternal Krysted Spirit",,5
