Anuhazi,Pronunciation,English,Category,Chinese,Source Title Number,
Ah -aL - aah /Aah -LAEA’,,Respectful appeal to the inner & outer 1st expressions of the UN/ONE,3,鄭重地向維一的萬物之源，他的內里和外圍的表達創造世界，請求：,1,
Aah -LAEA’,aLay”,,2,,,
Jshwa -E’ La -Khem,,Request to fill with the Eternal Spirit & Sound/Light/Seed of the God Source/One,3,要求以神源的永恆的音／光／種，來充滿,1,
Dah -aah’ Na’ -SA,,The Many Passages of the Lower Worlds of Density Matter Manifestation,3,密度宇宙的物質演化的低乘世界的許多通道。,1,
Un vier’ - tum AB- Da -La -Sha’ –NA,,Opening the Vacuums/Voids/Veils(spaces between) of the Bodies of the manifest,3,打開世界化體之間的真空／空洞／紗膜,1,
UT’ Ra -VA’-TA,,To receive the Eternal Living-Light of the Highest Heavens expressed,3,"來接受最高天堂的永恆活光。

",1,
(Tah A’sha Inta DorA 3x),,"It is spoken, So it shall be done(3 times)",3,如是道，如是成。（3次）,1,
[“Ench-allah”] ha’ -DA -ECK’ -Va,,"Giving as Gift to Ah-ah-aah(the inner 1st Flame) the opening of the Doorway to the high Inner-Ecka Core(“Core of Creation”)

",3,給我們這禮物， Ah -aL-aah(內在世界第一火焰），打開 通往高內在 Ecka 核心（創造的核中心）的門道，,1,
Neu - a DU -E’thra Sh -e’ – sa,,Parting the Veil of the Ethra Doorway,3,在打開 Ethra 門道的 紗膜的同時，,1,
aLE’ -A,,For the entry of the 1st Expression of the UN/ONE,3,給萬物之源的第一表達創造的進來。,1,
(Um ah A trA E’na A Eckasha 3x),,Hailing the Eckasha God-Force (3 times),3,虔誠地向 Eckasha 神源符請求，與我共同創造。（3 次）,1,
Um-ah-A' ThrA' E-na- A Ec-ka-sha (3 x),,Psonn - 1: Hailing the Eckasha God-Force  -The Request,3,歌段第1（ 意卡莎歌段）： 通神（招喚 意卡莎神力(意卡莎）-請求,2,
EirA-Sha-Ra-D-K-ShA Ta'a-Mira-Prana-Chi,,Psonn - 2: The In-Breath - Intention Imbedding -The Directive,3,歌段第2（意雷歌段）：懷願（立願回神） － 回流吸氣 -指導,2,
ManU-Ec-RAE-Dha-KHU-KEE- Ma'a-Yana-Traia-Rei,,Psonn-3: The Pause-Breath - Intention Creation -The Creation,3,歌段第3（曼努歌段）: 成願（意願創造形成）－ 閉氣積壘 -創造,2,
"ManA-Ka-E-Ha-HU-Ra- Hara-Maya-Mana-Ki(k""E"")",,Psonn-4: The Out-Breath- Intention Manifestation -The Projection,3,歌段第4（曼尼歌段）: 化願（意願創造的演化體現 ）－ 呼氣外流 -演化,2,
Ki,"k""E""",,3,,,
A-sh-alum- Ta' E-ka'sha- deh',,End: ,3,收功：,2,
Sah-sa-jhu-A’,,Silver Seed,1,银色种子,3,
Um-sa’-TA,,Prayer(Sanctification),1,禱告（聖化）,3,
Rei-ha-VA’-ah,,River,1,河,3,
UN-Krys-ta’-LO,,Krystal,1,水晶,3,
Rei-ha-VA’-ah UN-Krys-ta’-LO,,Flowing river made of Krystiac Eternally Living Crystal of the ONE SOURCE,3,,,3
DE-va’ en-TUr’-A E’-Sta-en-taO,,,3,,3,
Rei-ha-VA’-ah UN-Krys-ta’-LO,,,3,,3,
E-Rha’-HO e-Te-na Ha’-VA,,,3,,3,
e-TU- TO’-RA en-cha’-hA NU’-vO-et-TA en-Ta-rO,,,3,,3,
SE’-va blen’-A OOUr-tU- en-Ka’LA,,,3,,3,
DA-hE-Ta’-VA et-ur-TA-Dha E’LAi-sa AL-Hum-Bhra,,,3,,3,
DA-hE-NE’-va A-sa-Lah’-sO en-DU-e’thra Don Aquari,,,3,,3,
DA-hE-U’r-tO tra-DE’-Lha Ur-en-Ta’-RO de’-Ha’ah-Tur,,,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta DhA-yah-TUUN E’LAi-sa-VE’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO Dur-e-TA’-ta ALLum-uur AL-Hum-Bhra-VA’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta en-ta-HU’m UN-KrystaLA,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
HU’m UN-KrystaLA,UN-Kris-ta-LA’,,3,,,
Cum-sa-A’-HO DUr-e-TA’-ta Aquious,Ah-QWE’-us,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta AquaFarE,Ah-QWa-Fah-rE’,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta Aquari,Ah-Qair-E”,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta Ha’ah-TUr,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta AdonA’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta EyanA’,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta Eieyani’ Ma’a Hoo-et-A,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta oo-Sha’ LA’-zun dU Rho-szet’-TA,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta Mashaya-Hana Aqueion,,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Cum-sa-A’-HO DUr-e-TA’-ta Ute-AurorA’,Oot- ah-RO’-rA’,(Kristiac Councils of the Aurora-Guardians of the Spanner Gates,3,,3,
Bhendi-Aah-jha et-tu E’LAi-sa AL-Hum-Bhrus,,,3,,3,
Bhendi-Dur’O-ah-MA’-Jha Ute-AurorA Aqueion,,Urtha-AquafarE “Blue Dragons” -Aquatic-bird-blue-humanid,3,,3,
